Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
01-Nov-22,28924.25,29296.15,28874.65,29270.65,21456897,3037.09
02-Nov-22,29299.4,29307,29023.5,29138.65,15593845,2117.07
03-Nov-22,28866.35,28969.2,28643.5,28795.75,16618966,2066.82
04-Nov-22,28756.75,28757.95,28425.6,28693.05,15744855,2112.76
07-Nov-22,28815.95,28944.2,28480.65,28741.3,16285620,2185.62
09-Nov-22,28940.4,28940.4,28505.3,28626.8,14025537,1886.09
10-Nov-22,28287.85,28667.85,28284.65,28505.75,14478104,2078.71
11-Nov-22,29182.35,29733.15,29163.75,29591.95,37806462,5103.54
14-Nov-22,29709.75,29945.15,29610.55,29849.3,21681378,2900.49
15-Nov-22,29789.85,29926.15,29531.65,29865.25,17021172,2539.63
16-Nov-22,29920.65,30125.2,29812.9,29951.5,18105458,2678.77
17-Nov-22,29810.45,29838.6,29610.1,29681.4,13954152,2158.52
18-Nov-22,29739.2,29890.5,29398.95,29669.25,14957706,2124.33
21-Nov-22,29520.15,29576.15,29153.9,29209.55,12975613,1903.54
22-Nov-22,29195.7,29478,29020.35,29446.9,14963359,2199.34
23-Nov-22,29574.65,29592.05,29365.25,29405.6,13143304,1926.74
24-Nov-22,29507.55,30258,29464.75,30178.65,20835488,2870.57
25-Nov-22,30233.9,30400.35,29981.15,30334.6,18599741,2563.41
28-Nov-22,30207.75,30619.65,30152.85,30309.65,18368498,2618.58
29-Nov-22,30242.4,30568.35,30228.1,30345.65,13314862,1942.53
30-Nov-22,30274.5,30499.35,30133.95,30391.7,34389882,5283.42
01-Dec-22,30749.45,31227.6,30723.25,31120.5,30824136,5617.12
02-Dec-22,31097.55,31135.2,30869.7,31052.1,22892823,4087.12
05-Dec-22,31052,31104.1,30750.55,30891.5,17137116,2502.77
06-Dec-22,30656.2,30690.4,30323.95,30443,16956353,2581.73
07-Dec-22,30319.25,30337.3,30091.2,30187.05,15150652,2442.36
08-Dec-22,30175.85,30226.55,29983.4,30115,14408729,2226.63
09-Dec-22,30196.25,30196.25,29038.6,29168.45,36302377,4779.35
12-Dec-22,28940.95,29183.8,28661.1,29050.5,22633370,3263.06
13-Dec-22,29103.5,29421.1,28993.8,29376.55,17108488,2670.84
14-Dec-22,29546.95,29810.35,29503.1,29713.9,18373245,2928.79
15-Dec-22,29609.6,29615.95,29039.25,29087.95,20501222,2952.1
16-Dec-22,28805.95,29131.85,28623.65,28702.2,32728557,4559.86
19-Dec-22,28567.7,28698.25,28374.45,28556.45,18965740,2770.21
20-Dec-22,28464.85,28644.1,28109.15,28612.5,19277547,2657.1
